City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
337,leua,48.2156,18.6071,22.5,72,71,3.1,SK,1693259943
338,acarau,-2.8856,-40.12,26.06,79,0,7.18,BR,1693259805
339,loiza,18.4313,-65.8802,33.05,62,40,4.63,PR,1693259944
340,vila do maio,15.1333,-23.2167,28.44,83,100,5.37,CV,1693259944
341,soc trang,9.6033,105.98,26.33,85,89,4.41,VN,1693259945
342,xishan,27.6667,113.5,20.19,93,100,0.71,CN,1693259945
343,sulak,43.2734,47.5146,22.63,78,0,4.15,RU,1693259946
344,pontiac,42.6389,-83.2911,24.99,46,20,1.54,US,1693259947
345,ghadamis,30.1337,9.5007,31.2,14,2,3.18,LY,1693259947
346,boende,-0.2167,20.8667,22.03,98,99,1.19,CD,1693259948
347,baardheere,2.3446,42.2764,25.47,68,27,8.2,SO,1693259948
348,ushtobe,45.2514,77.9838,14.63,58,27,1.0,KZ,1693259949
349,xilin hot,43.9667,116.0333,10.36,81,40,1.27,CN,1693259949
350,el porvenir,13.7617,-87.3458,30.63,91,100,1.26,HN,1693259950
351,puerto ayacucho,5.6639,-67.6236,27.36,80,44,2.19,VE,1693259918
352,gutao,37.2025,112.1781,15.93,63,0,0.6,CN,1693259950
353,chunskiy,56.0815,99.6342,15.47,86,52,1.89,RU,1693259951
354,flying fish cove,-10.4217,105.6791,23.82,88,100,3.09,CX,1693259951
355,souillac,-20.5167,57.5167,21.21,88,75,0.0,MU,1693259952
356,plastun,44.7561,136.2939,16.78,83,99,1.13,RU,1693259952
357,tazacorte,28.629,-17.9293,24.54,84,100,8.75,ES,1693259952
358,miandrivazo,-19.5167,45.4667,26.12,40,62,4.35,MG,1693259953
359,katsina,12.9894,7.6006,28.11,50,41,2.93,NG,1693259953
360,nyurba,63.2842,118.3319,14.8,79,9,1.47,RU,1693259954
361,huandacareo,19.9833,-101.2833,22.73,75,65,0.82,MX,1693259954
